variant,size_label,size_bytes,iteration,phase,duration_ns
B_no_audit,1KB,1024,0,t1_t2_encode,8600
B_no_audit,1KB,1024,0,t2_t3_write,1614700
B_no_audit,1KB,1024,0,t3_t4_rename,0
B_no_audit,1KB,1024,0,t4_t5_audit,1300
B_no_audit,1KB,1024,0,t5_t6_return,400
B_no_audit,1KB,1024,0,t0_t6_total,1947200
B_no_audit,1KB,1024,1,t0_t1_validation,341600
B_no_audit,1KB,1024,1,t1_t2_encode,10600
B_no_audit,1KB,1024,1,t2_t3_write,1422900
B_no_audit,1KB,1024,1,t3_t4_rename,0
B_no_audit,1KB,1024,1,t4_t5_audit,800
B_no_audit,1KB,1024,1,t5_t6_return,400
B_no_audit,1KB,1024,1,t0_t6_total,1776300
B_no_audit,1KB,1024,2,t0_t1_validation,277800
B_no_audit,1KB,1024,2,t1_t2_encode,4400
B_no_audit,1KB,1024,2,t2_t3_write,1537800
B_no_audit,1KB,1024,2,t3_t4_rename,0
B_no_audit,1KB,1024,2,t4_t5_audit,1900
B_no_audit,1KB,1024,2,t5_t6_return,1100
B_no_audit,1KB,1024,2,t0_t6_total,1823000
B_no_audit,1KB,1024,3,t0_t1_validation,233200
B_no_audit,1KB,1024,3,t1_t2_encode,5700
B_no_audit,1KB,1024,3,t2_t3_write,1570800
B_no_audit,1KB,1024,3,t3_t4_rename,0
B_no_audit,1KB,1024,3,t4_t5_audit,1100
B_no_audit,1KB,1024,3,t5_t6_return,400
B_no_audit,1KB,1024,3,t0_t6_total,1811200
B_no_audit,1KB,1024,4,t0_t1_validation,332700
B_no_audit,1KB,1024,4,t1_t2_encode,5600
B_no_audit,1KB,1024,4,t2_t3_write,1317100
B_no_audit,1KB,1024,4,t3_t4_rename,0
B_no_audit,1KB,1024,4,t4_t5_audit,600
B_no_audit,1KB,1024,4,t5_t6_return,200
B_no_audit,1KB,1024,4,t0_t6_total,1656200
B_no_audit,1KB,1024,5,t0_t1_validation,257800
B_no_audit,1KB,1024,5,t1_t2_encode,5400
B_no_audit,1KB,1024,5,t2_t3_write,1259400
B_no_audit,1KB,1024,5,t3_t4_rename,0
B_no_audit,1KB,1024,5,t4_t5_audit,4800
B_no_audit,1KB,1024,5,t5_t6_return,6200
B_no_audit,1KB,1024,5,t0_t6_total,1533600
B_no_audit,1KB,1024,6,t0_t1_validation,307900
B_no_audit,1KB,1024,6,t1_t2_encode,5600
B_no_audit,1KB,1024,6,t2_t3_write,1288400
B_no_audit,1KB,1024,6,t3_t4_rename,0
B_no_audit,1KB,1024,6,t4_t5_audit,500
B_no_audit,1KB,1024,6,t5_t6_return,200
B_no_audit,1KB,1024,6,t0_t6_total,1602600
B_no_audit,1KB,1024,7,t0_t1_validation,264300
B_no_audit,1KB,1024,7,t1_t2_encode,6400
